name,category,price,rating,rating_count,total_sold,brand,url
uiisii hm 12 clear music and gaming earphone ( havy duty),In-Ear Headphones,199,3.4,53 Ratings,384 sold,No Brand,https://www.daraz.com.bd/products/uiisii-hm-12-i324340143.html
QKZ DM7 Zinc Alloy Hifi Super Bass In Ear Earphones - Black - Headphone,In-Ear Headphones,399,4.2,252 Ratings,1.2K sold,No Brand,https://www.daraz.com.bd/products/qkz-dm7-zinc-alloy-hifi-super-bass-in-ear-earphones-black-headphone-i258979742.html
REMAX RM 512 High Performance Wired In Ear Earphone Stereo with Mic 3.5mm Jack with free Gift,In-Ear Headphones,190,4.9,11 Ratings,49 sold,No Brand,https://www.daraz.com.bd/products/remax-rm-512-35mm-i343980724.html
APPLE IPHONE Earphone In Ear Wired Earphone Lightning Earphone Direct Connection Deep Bass Earphone,In-Ear Headphones,848,4.0,40 Ratings,190 sold,No Brand,https://www.daraz.com.bd/products/-i338159266.html
Wire Control Headset For Smartphone 3.5Mm In-Ear Wired Microphone Volume Control Headset Earphone - Headphone - Headphone,In-Ear Headphones,95,4.4,51 Ratings,426 sold,No Brand,https://www.daraz.com.bd/products/wire-control-headset-for-smartphone-35mm-in-ear-wired-microphone-volume-control-headset-earphone-headphone-headphone-i260887255.html
KIN Earphone K28 Stylish Stereo In-Ear Headphone with Balanced sound quality - In-Ear Headphone,In-Ear Headphones,105,4.1,66 Ratings,487 sold,No Brand,https://www.daraz.com.bd/products/kin-k28-i324962947.html
Remax Rm 510 In-Ear Earphone With Metal Box - Headphone,In-Ear Headphones,195,4.2,274 Ratings,1.4K sold,No Brand,https://www.daraz.com.bd/products/remax-rm-510-in-ear-earphone-with-metal-box-headphone-i200496649.html
UiiSii HM13 In-Ear Earphone Dynamic Earphone with Microphone and Pouch Bag,In-Ear Headphones,295,4.6,29 Ratings,201 sold,No Brand,https://www.daraz.com.bd/products/uiisii-hm13-i344842963.html
QKZ DM10 Zinc Alloy HiFi Earphone In Ear Earphone,In-Ear Headphones,238,4.1,16 Ratings,151 sold,No Brand,https://www.daraz.com.bd/products/qkz-dm10-hifi-i381782772.html
KZ EDX PRO Dynamic Earphones HIFI Bass Earbuds In Ear Monitor Sport Noise Cancelling Headset,In-Ear Headphones,887,5.0,275 Ratings,7.4K sold,No Brand,https://www.daraz.com.bd/products/kz-edx-pro-hifi-i404764023.html
G20 Gaming Earphone Noise Reduction 3.5mm Gaming Headset with Microphone,In-Ear Headphones,399,4.4,9 Ratings,48 sold,No Brand,https://www.daraz.com.bd/products/g20-35mm-i362594034.html
DM10 QKZ DM10 Zinc Alloy HiFi In Ear Earphones QKZ DM10 3.5mm Wired In-Ear Earphone- Dreamy DeaLs,In-Ear Headphones,182,4.1,99 Ratings,5.0K sold,No Brand,https://www.daraz.com.bd/products/dm10-qkz-dm10-hifi-qkz-dm10-35mm-dreamy-deals-i324112852.html
Wireless Stereo Bluetooth Earphone-Black&White,In-Ear Headphones,98,3.4,37 Ratings,456 sold,No Brand,https://www.daraz.com.bd/products/-i324454468.html
JBL TUNE 110 In-Ear Earphone,In-Ear Headphones,1090,4.3,9 Ratings,106 sold,JBL,https://www.daraz.com.bd/products/jbl-110-i285885044.html
Original TWS M90 Wireless Headphones Sliding Cover Gaming Earphone Bluetooth 5.3 Sport Earbuds Music Headsets For Iphone Xiaomi,In-Ear Headphones,557,0,61 Ratings,2.9K sold,No Brand,https://www.daraz.com.bd/products/iphone-xiaomi-briame-tws-m90-53-i402251337.html
Remax Rm 512 In-Ear Wired High Performance With Metal Box Earphone - Black- Red-Headphone - unique headphone - Bass Stereo -with Mic wire control,In-Ear Headphones,124,4.2,30 Ratings,313 sold,No Brand,https://www.daraz.com.bd/products/remax-rm-512-i364715353.html
UiiSii HM13 Wired Noise Cancelling Dynamic Heavy Bass Music Metal In-ear with Mic Earphone - Ear Phone - Headphone - Headphone - Headphone - Ear Phone - Earphone,In-Ear Headphones,375,4.3,140 Ratings,858 sold,No Brand,https://www.daraz.com.bd/products/uiisii-hm13-wired-noise-cancelling-dynamic-heavy-bass-music-metal-in-ear-with-mic-earphone-ear-phone-headphone-headphone-headphone-ear-phone-earphone-i123806256.html
Huadelai-Twin Horn V30 3.5Mm Super Bass Stereo In Ear Headphone Music In Ear Stereo Headphone - Headphone,In-Ear Headphones,140,3.5,68 Ratings,548 sold,No Brand,https://www.daraz.com.bd/products/huadelai-twin-v30-35mm-i269197602.html
earphone for iphone apple earpods with microphone in ear wired earphone for iphone headphone,In-Ear Headphones,315,3.6,17 Ratings,134 sold,No Brand,https://www.daraz.com.bd/products/iphone-i322656164.html
ORIGINAL REMAX RM-512 IN-EAR 3.5 MM STEREO EARPHONE,In-Ear Headphones,90,4.0,75 Ratings,442 sold,No Brand,https://www.daraz.com.bd/products/original-remax-rm-512-in-ear-35-mm-stereo-earphone-i368409268.html
Sports Earphone Inear Drivebywire With Microphone Extra Bass Cellphone Headset Magic Sound,In-Ear Headphones,422,4.5,120 Ratings,1.1K sold,No Brand,https://www.daraz.com.bd/products/-i405990876.html
M10 TWS Earphone 9D Stereo LED Digital Display Touch CVC8.0 Digital Noise Reduction Technology - Headphone - Headphone - Ear Phone - Earphone,In-Ear Headphones,367,3.9,102 Ratings,1.0K sold,No Brand,https://www.daraz.com.bd/products/m10-tws-earphone-9d-stereo-led-digital-display-touch-cvc80-digital-noise-reduction-technology-headphone-headphone-ear-phone-earphone-i260293647.html
QKZ DM10 HiFi Earphone In Ear Earphones,In-Ear Headphones,399,4.2,837 Ratings,4.5K sold,QKZ,https://www.daraz.com.bd/products/qkz-dm10-hifi-earphone-in-ear-earphones-i198859157.html
Mi In Ear Earphone Best Bass Sound Quality For All Android - White Color MI In Ear Earphone Good Bass Sound Quality For All Android - White Color Ultra deep bass MI Earphone Basic (with Mic) For Vivo/Oppo/MI,In-Ear Headphones,55,4.0,88 Ratings,905 sold,No Brand,https://www.daraz.com.bd/products/mi-purmi-mi-vivooppomi-i220389502.html
3.5mm Super bass In-ear earpiece earphones for all brands Compatible with Vivo Samsung Huawei Xiaomi OPPO Symphony Walton High-Quality In-ear Earphone for Vivo,In-Ear Headphones,84,4.1,72 Ratings,554 sold,No Brand,https://www.daraz.com.bd/products/35mm-super-bass-in-ear-earpiece-earphones-for-all-brands-compatible-with-vivo-samsung-huawei-xiaomi-oppo-symphony-walton-high-quality-in-ear-earphone-for-vivo-i233918848.html
Remax Rm 510 Wired High Performance Earphones - Headphone,In-Ear Headphones,370,4.5,2795 Ratings,14.6K sold,No Brand,https://www.daraz.com.bd/products/remax-rm-510-wired-high-performance-earphones-headphone-i104846274.html
Original KZ HD9 Earphones HiFi Sport Earbuds Copper Earhook ear Headphones,In-Ear Headphones,371,4.6,47 Ratings,331 sold,No Brand,https://www.daraz.com.bd/products/kz-hd9-hifi-i336027540.html
Realme Stereo Wired Earphone RMA101,In-Ear Headphones,43,3.9,15 Ratings,344 sold,No Brand,https://www.daraz.com.bd/products/realme-rma101-i391634976.html
Music U19 Earphone Colorful Matte Earbuds Stereo Wired Earphones with Microphone,In-Ear Headphones,50,4.6,69 Ratings,489 sold,No Brand,https://www.daraz.com.bd/products/u19-i327771308.html
Bluetooth Earphones Wireless Headphones Magnetic Sport Neckband Neck-hanging TWS Earbuds Wireless Blutooth Headset with Mic,In-Ear Headphones,266,4.4,1896 Ratings,18.7K sold,No Brand,https://www.daraz.com.bd/products/10-tws-i399863824.html
Original Pro 6 TWS Wireless Bluetooth Earphones Headphones Mini Fone Earphone Stereo Sport Headset For Xiaomi Android Earbuds,In-Ear Headphones,364,4.4,5 Ratings,15.4K sold,No Brand,https://www.daraz.com.bd/products/xiaomi-android-mini-pro-6-tws-i401461617.html
UiiSii HM13 In-Ear Earphone Dynamic Earphone with Microphone and Pouch Bag,In-Ear Headphones,299,4.8,24 Ratings,118 sold,No Brand,https://www.daraz.com.bd/products/uiisii-hm13-i387715680.html
QKZ DM10 Zinc Alloy HiFi Earphones,In-Ear Headphones,305,4.4,28 Ratings,26.3K sold,No Brand,https://www.daraz.com.bd/products/qkz-dm10-zinc-alloy-hifi-earphones-i2528297.html
Original A6S TWS Headset Wireless Earphones Bluetooth Headphones Sport Stereo Fone Bluetooth Earbuds for Xiaomi Huawei iPhone,In-Ear Headphones,331,4.6,15292 Ratings,111.8K sold,No Brand,https://www.daraz.com.bd/products/xiaomi-huawei-iphone-tws-i401654241.html
Wire Control Headset for Smartphone 3.5mm In-ear Wired Microphone Volume Control Headset Earphone - Headphone - Headphone - Ear Phone - Earphone,In-Ear Headphones,99,4.3,159 Ratings,3.7K sold,No Brand,https://www.daraz.com.bd/products/wire-control-headset-for-smartphone-35mm-in-ear-wired-microphone-volume-control-headset-earphone-headphone-headphone-ear-phone-earphone-i225596144.html
Realme Stereo Wired Earphone RMA101,In-Ear Headphones,49,3.7,350 Ratings,3.7K sold,No Brand,https://www.daraz.com.bd/products/realme-rma101-i223346343.html
Qkz Dm7(Master Copy) Zinc Alloy In Ear Hifi Wired Earphone Stereo Bass - Black,In-Ear Headphones,359,4.6,20 Ratings,64 sold,No Brand,https://www.daraz.com.bd/products/qkz-dm7-hifi-i393550495.html
REMAX RM-510 High Performance Earphones REMAX RM 510 Wired Earphone Remax RM 510 Wired In-ear Stereo Music Headset with Mic wire control function,In-Ear Headphones,299,4.0,75 Ratings,654 sold,No Brand,https://www.daraz.com.bd/products/remax-rm-510-remax-rm-510-remax-rm-510-i325913592.html
TRN MT1 1DD Dynamic Drivers In-Ear Monitors HIFI Bass-Running Sport-Noise Cancelling Earphone,In-Ear Headphones,685,4.3,294 Ratings,1.5K sold,No Brand,https://www.daraz.com.bd/products/trn-mt1-1dd-hifi-i278706751.html
Uiisii C100 Super Bass Stereo In Ear Headphone - Black,In-Ear Headphones,240,4.4,3639 Ratings,19.4K sold,UiiSii,https://www.daraz.com.bd/products/uiisii-c100-super-bass-stereo-in-ear-headphone-black-i174062143.html
Orignal Creative High Bass Audio Earphone with Pouch EP-530 - Black,In-Ear Headphones,159,4.1,866 Ratings,7.9K sold,No Brand,https://www.daraz.com.bd/products/ep-530-i209982865.html
Earphone One_Plus With Mic Deep Bass For All Android Smartphone - Headphone,In-Ear Headphones,49,3.3,173 Ratings,1.9K sold,No Brand,https://www.daraz.com.bd/products/one_plus-i234037167.html
